Validation_Set,Topics,Alpha,Beta,Coherence
75.0% Corpus,2,0.01,0.01,0.28482031478538405
75.0% Corpus,2,0.01,0.31,0.2860041484038005
75.0% Corpus,2,0.01,0.61,0.2860041484038005
75.0% Corpus,2,0.01,0.9099999999999999,0.2860041484038005
75.0% Corpus,2,0.01,symmetric,0.28600414840380045
75.0% Corpus,2,0.31,0.01,0.28830775315958546
75.0% Corpus,2,0.31,0.31,0.29147672496625177
75.0% Corpus,2,0.31,0.61,0.2860041484038005
75.0% Corpus,2,0.31,0.9099999999999999,0.28600414840380045
75.0% Corpus,2,0.31,symmetric,0.2860041484038005
75.0% Corpus,2,0.61,0.01,0.2860041484038005
75.0% Corpus,2,0.61,0.31,0.2819248473853847
75.0% Corpus,2,0.61,0.61,0.2860041484038005
75.0% Corpus,2,0.61,0.9099999999999999,0.2860041484038005
75.0% Corpus,2,0.61,symmetric,0.2860041484038005
75.0% Corpus,2,0.9099999999999999,0.01,0.28600414840380045
75.0% Corpus,2,0.9099999999999999,0.31,0.2860041484038005
75.0% Corpus,2,0.9099999999999999,0.61,0.2860041484038004
75.0% Corpus,2,0.9099999999999999,0.9099999999999999,0.28639341032842414
75.0% Corpus,2,0.9099999999999999,symmetric,0.2860041484038005
75.0% Corpus,2,symmetric,0.01,0.28600414840380045
75.0% Corpus,2,symmetric,0.31,0.28600414840380045
75.0% Corpus,2,symmetric,0.61,0.2819248473853847
75.0% Corpus,2,symmetric,0.9099999999999999,0.2860041484038004
75.0% Corpus,2,symmetric,symmetric,0.28198101190234215
75.0% Corpus,2,asymmetric,0.01,0.296420960459885
75.0% Corpus,2,asymmetric,0.31,0.2935876136898765
75.0% Corpus,2,asymmetric,0.61,0.29146467833740597
75.0% Corpus,2,asymmetric,0.9099999999999999,0.29185989047137095
75.0% Corpus,2,asymmetric,symmetric,0.2931909981357338
75.0% Corpus,3,0.01,0.01,0.3155522080309176
75.0% Corpus,3,0.01,0.31,0.3097208060456748
75.0% Corpus,3,0.01,0.61,0.30844567635954195
75.0% Corpus,3,0.01,0.9099999999999999,0.3037906289782641
75.0% Corpus,3,0.01,symmetric,0.3094879670036519
75.0% Corpus,3,0.31,0.01,0.318371277838555
75.0% Corpus,3,0.31,0.31,0.3140187845250774
75.0% Corpus,3,0.31,0.61,0.3085749052169579
75.0% Corpus,3,0.31,0.9099999999999999,0.32136864912797597
75.0% Corpus,3,0.31,symmetric,0.32557644307853767
75.0% Corpus,3,0.61,0.01,0.3221737777094242
75.0% Corpus,3,0.61,0.31,0.31886419097729096
75.0% Corpus,3,0.61,0.61,0.3194720075934457
75.0% Corpus,3,0.61,0.9099999999999999,0.32050433174417087
75.0% Corpus,3,0.61,symmetric,0.3187350947120174
75.0% Corpus,3,0.9099999999999999,0.01,0.32481233229379286
75.0% Corpus,3,0.9099999999999999,0.31,0.32120350067693965
75.0% Corpus,3,0.9099999999999999,0.61,0.3241391589829551
75.0% Corpus,3,0.9099999999999999,0.9099999999999999,0.32481233229379286
75.0% Corpus,3,0.9099999999999999,symmetric,0.32481233229379286
75.0% Corpus,3,symmetric,0.01,0.31711880030714507
75.0% Corpus,3,symmetric,0.31,0.32481233229379286
75.0% Corpus,3,symmetric,0.61,0.3132881813918611
75.0% Corpus,3,symmetric,0.9099999999999999,0.3150486298815463
75.0% Corpus,3,symmetric,symmetric,0.3118425641794802
75.0% Corpus,3,asymmetric,0.01,0.3170130897320083
75.0% Corpus,3,asymmetric,0.31,0.31833263965896286
75.0% Corpus,3,asymmetric,0.61,0.309531655405939
75.0% Corpus,3,asymmetric,0.9099999999999999,0.31394346872501916
75.0% Corpus,3,asymmetric,symmetric,0.31484959565950404
75.0% Corpus,4,0.01,0.01,0.33125444161950446
75.0% Corpus,4,0.01,0.31,0.32674423832972466
75.0% Corpus,4,0.01,0.61,0.3113280161793671
75.0% Corpus,4,0.01,0.9099999999999999,0.31644720706983764
75.0% Corpus,4,0.01,symmetric,0.3225868688250132
75.0% Corpus,4,0.31,0.01,0.3383631067224675
75.0% Corpus,4,0.31,0.31,0.3245420536649367
75.0% Corpus,4,0.31,0.61,0.3332708371805083
75.0% Corpus,4,0.31,0.9099999999999999,0.33352701733797296
75.0% Corpus,4,0.31,symmetric,0.34204442163442594
75.0% Corpus,4,0.61,0.01,0.33591050296990094
75.0% Corpus,4,0.61,0.31,0.33338162079521794
75.0% Corpus,4,0.61,0.61,0.31596796185341103
75.0% Corpus,4,0.61,0.9099999999999999,0.3210958883009758
75.0% Corpus,4,0.61,symmetric,0.3337655619143543
75.0% Corpus,4,0.9099999999999999,0.01,0.3335833568111667
75.0% Corpus,4,0.9099999999999999,0.31,0.33669536132662226
75.0% Corpus,4,0.9099999999999999,0.61,0.3321370326839992
75.0% Corpus,4,0.9099999999999999,0.9099999999999999,0.34011124831488226
75.0% Corpus,4,0.9099999999999999,symmetric,0.32091011857879936
75.0% Corpus,4,symmetric,0.01,0.3346599230452641
75.0% Corpus,4,symmetric,0.31,0.31849460917471634
75.0% Corpus,4,symmetric,0.61,0.3244245875375008
75.0% Corpus,4,symmetric,0.9099999999999999,0.33504065567452473
75.0% Corpus,4,symmetric,symmetric,0.32405121488431077
75.0% Corpus,4,asymmetric,0.01,0.31239398949043773
75.0% Corpus,4,asymmetric,0.31,0.3125411465098138
75.0% Corpus,4,asymmetric,0.61,0.3193005520332931
75.0% Corpus,4,asymmetric,0.9099999999999999,0.30944923512666145
75.0% Corpus,4,asymmetric,symmetric,0.3147319324881658
75.0% Corpus,5,0.01,0.01,0.3200501883118919
75.0% Corpus,5,0.01,0.31,0.31581743373126336
75.0% Corpus,5,0.01,0.61,0.334802034849607
75.0% Corpus,5,0.01,0.9099999999999999,0.3303901465533935
75.0% Corpus,5,0.01,symmetric,0.3185446336366239
75.0% Corpus,5,0.31,0.01,0.3438794275699447
75.0% Corpus,5,0.31,0.31,0.34078822150456656
75.0% Corpus,5,0.31,0.61,0.3478145920516901
75.0% Corpus,5,0.31,0.9099999999999999,0.3523766413285697
75.0% Corpus,5,0.31,symmetric,0.3638503407986935
75.0% Corpus,5,0.61,0.01,0.34051927986666414
75.0% Corpus,5,0.61,0.31,0.32359575567470644
75.0% Corpus,5,0.61,0.61,0.3432281502100535
75.0% Corpus,5,0.61,0.9099999999999999,0.3411965358858168
75.0% Corpus,5,0.61,symmetric,0.3578118936719652
75.0% Corpus,5,0.9099999999999999,0.01,0.32552091518846327
75.0% Corpus,5,0.9099999999999999,0.31,0.33634206456566995
75.0% Corpus,5,0.9099999999999999,0.61,0.3384307009940376
75.0% Corpus,5,0.9099999999999999,0.9099999999999999,0.32966620402833263
75.0% Corpus,5,0.9099999999999999,symmetric,0.3524761367240802
75.0% Corpus,5,symmetric,0.01,0.3530570821782111
75.0% Corpus,5,symmetric,0.31,0.355938972439663
75.0% Corpus,5,symmetric,0.61,0.33997410998873423
75.0% Corpus,5,symmetric,0.9099999999999999,0.3315621410886367
75.0% Corpus,5,symmetric,symmetric,0.34570810801820817
75.0% Corpus,5,asymmetric,0.01,0.33676746878358976
75.0% Corpus,5,asymmetric,0.31,0.32719925244840536
75.0% Corpus,5,asymmetric,0.61,0.3306544180132369
75.0% Corpus,5,asymmetric,0.9099999999999999,0.32802918696436684
75.0% Corpus,5,asymmetric,symmetric,0.31662482487374766
75.0% Corpus,6,0.01,0.01,0.3415853679523648
75.0% Corpus,6,0.01,0.31,0.3332794139514352
75.0% Corpus,6,0.01,0.61,0.35061707528039054
75.0% Corpus,6,0.01,0.9099999999999999,0.3433066465153629
75.0% Corpus,6,0.01,symmetric,0.34669101959879084
75.0% Corpus,6,0.31,0.01,0.3931662670624743
75.0% Corpus,6,0.31,0.31,0.38602793627949
75.0% Corpus,6,0.31,0.61,0.38903333330239387
75.0% Corpus,6,0.31,0.9099999999999999,0.3868601189622027
75.0% Corpus,6,0.31,symmetric,0.3877727079918312
75.0% Corpus,6,0.61,0.01,0.3567439148021178
75.0% Corpus,6,0.61,0.31,0.37006048703105293
75.0% Corpus,6,0.61,0.61,0.3579204022362014
75.0% Corpus,6,0.61,0.9099999999999999,0.3561905812545474
75.0% Corpus,6,0.61,symmetric,0.340517504761881
75.0% Corpus,6,0.9099999999999999,0.01,0.36706038468051183
75.0% Corpus,6,0.9099999999999999,0.31,0.375647659974061
75.0% Corpus,6,0.9099999999999999,0.61,0.3456564460386026
75.0% Corpus,6,0.9099999999999999,0.9099999999999999,0.3308094554579992
75.0% Corpus,6,0.9099999999999999,symmetric,0.3421065781856611
75.0% Corpus,6,symmetric,0.01,0.3800784728011282
75.0% Corpus,6,symmetric,0.31,0.3317856073025073
75.0% Corpus,6,symmetric,0.61,0.3324233956024771
75.0% Corpus,6,symmetric,0.9099999999999999,0.3657064557056697
75.0% Corpus,6,symmetric,symmetric,0.3511569095851124
75.0% Corpus,6,asymmetric,0.01,0.350943047778796
75.0% Corpus,6,asymmetric,0.31,0.34264533700149974
75.0% Corpus,6,asymmetric,0.61,0.3467282029294745
75.0% Corpus,6,asymmetric,0.9099999999999999,0.3415434137664843
75.0% Corpus,6,asymmetric,symmetric,0.3505455249267359
75.0% Corpus,7,0.01,0.01,0.39393883279672526
75.0% Corpus,7,0.01,0.31,0.3993973549669735
75.0% Corpus,7,0.01,0.61,0.3760098019640495
75.0% Corpus,7,0.01,0.9099999999999999,0.40977629384301295
75.0% Corpus,7,0.01,symmetric,0.38374915282505656
75.0% Corpus,7,0.31,0.01,0.39910280864549097
75.0% Corpus,7,0.31,0.31,0.3792193605370881
75.0% Corpus,7,0.31,0.61,0.3854776325443004
75.0% Corpus,7,0.31,0.9099999999999999,0.38668380038098077
75.0% Corpus,7,0.31,symmetric,0.3872147503714584
75.0% Corpus,7,0.61,0.01,0.36219782290970387
75.0% Corpus,7,0.61,0.31,0.3576583147958169
75.0% Corpus,7,0.61,0.61,0.35408919932062527
75.0% Corpus,7,0.61,0.9099999999999999,0.36842640300409896
75.0% Corpus,7,0.61,symmetric,0.3450605345176889
75.0% Corpus,7,0.9099999999999999,0.01,0.36183012085794525
75.0% Corpus,7,0.9099999999999999,0.31,0.3563109320381389
75.0% Corpus,7,0.9099999999999999,0.61,0.3645436004595494
75.0% Corpus,7,0.9099999999999999,0.9099999999999999,0.35261846291160376
75.0% Corpus,7,0.9099999999999999,symmetric,0.3664767482690556
75.0% Corpus,7,symmetric,0.01,0.39326663316035926
75.0% Corpus,7,symmetric,0.31,0.38902709859945045
75.0% Corpus,7,symmetric,0.61,0.40511188963258543
75.0% Corpus,7,symmetric,0.9099999999999999,0.41065739672037094
75.0% Corpus,7,symmetric,symmetric,0.37709603589989904
75.0% Corpus,7,asymmetric,0.01,0.3986469455102557
75.0% Corpus,7,asymmetric,0.31,0.35021606471222283
75.0% Corpus,7,asymmetric,0.61,0.3427534455347579
75.0% Corpus,7,asymmetric,0.9099999999999999,0.3470718979569554
75.0% Corpus,7,asymmetric,symmetric,0.3574547245603633
75.0% Corpus,8,0.01,0.01,0.39863114824895135
75.0% Corpus,8,0.01,0.31,0.3941641595085381
75.0% Corpus,8,0.01,0.61,0.3921218653305745
75.0% Corpus,8,0.01,0.9099999999999999,0.38511314971536775
75.0% Corpus,8,0.01,symmetric,0.3915476735419109
75.0% Corpus,8,0.31,0.01,0.378687437662856
75.0% Corpus,8,0.31,0.31,0.4034021509377818
75.0% Corpus,8,0.31,0.61,0.3749480562538312
75.0% Corpus,8,0.31,0.9099999999999999,0.39907501374338805
75.0% Corpus,8,0.31,symmetric,0.3818234601353847
75.0% Corpus,8,0.61,0.01,0.3759565925151395
75.0% Corpus,8,0.61,0.31,0.38001441096969735
75.0% Corpus,8,0.61,0.61,0.3763514808391407
75.0% Corpus,8,0.61,0.9099999999999999,0.38240640930753345
75.0% Corpus,8,0.61,symmetric,0.38878453147008996
75.0% Corpus,8,0.9099999999999999,0.01,0.38020421165969287
75.0% Corpus,8,0.9099999999999999,0.31,0.36742145635728474
75.0% Corpus,8,0.9099999999999999,0.61,0.3677120683494085
75.0% Corpus,8,0.9099999999999999,0.9099999999999999,0.38976442642893555
75.0% Corpus,8,0.9099999999999999,symmetric,0.3791168958533275
75.0% Corpus,8,symmetric,0.01,0.38815398924573746
75.0% Corpus,8,symmetric,0.31,0.36865660737030126
75.0% Corpus,8,symmetric,0.61,0.4154624876882117
75.0% Corpus,8,symmetric,0.9099999999999999,0.39421614452823384
75.0% Corpus,8,symmetric,symmetric,0.39780633620759165
75.0% Corpus,8,asymmetric,0.01,0.35340401543124234
75.0% Corpus,8,asymmetric,0.31,0.3413039147124004
75.0% Corpus,8,asymmetric,0.61,0.3764692742234079
75.0% Corpus,8,asymmetric,0.9099999999999999,0.3554056228322362
75.0% Corpus,8,asymmetric,symmetric,0.37432079523037026
75.0% Corpus,9,0.01,0.01,0.3594350993687965
75.0% Corpus,9,0.01,0.31,0.441631167244728
75.0% Corpus,9,0.01,0.61,0.4141222713383166
75.0% Corpus,9,0.01,0.9099999999999999,0.3416887747909463
75.0% Corpus,9,0.01,symmetric,0.4194116785911526
75.0% Corpus,9,0.31,0.01,0.4058665874642403
75.0% Corpus,9,0.31,0.31,0.4309428487279833
75.0% Corpus,9,0.31,0.61,0.4074271706411611
75.0% Corpus,9,0.31,0.9099999999999999,0.3407916506372193
75.0% Corpus,9,0.31,symmetric,0.34589825210955466
75.0% Corpus,9,0.61,0.01,0.3727816050471103
75.0% Corpus,9,0.61,0.31,0.38985634238053746
75.0% Corpus,9,0.61,0.61,0.3567847243536831
75.0% Corpus,9,0.61,0.9099999999999999,0.39658815103854
75.0% Corpus,9,0.61,symmetric,0.38251693813684634
75.0% Corpus,9,0.9099999999999999,0.01,0.367172709139349
75.0% Corpus,9,0.9099999999999999,0.31,0.3703897899295566
75.0% Corpus,9,0.9099999999999999,0.61,0.3485501107991213
75.0% Corpus,9,0.9099999999999999,0.9099999999999999,0.34810062672831554
75.0% Corpus,9,0.9099999999999999,symmetric,0.35927426111475386
75.0% Corpus,9,symmetric,0.01,0.41821892501523233
75.0% Corpus,9,symmetric,0.31,0.42373493168614285
75.0% Corpus,9,symmetric,0.61,0.3649691385004616
75.0% Corpus,9,symmetric,0.9099999999999999,0.3368323429324423
75.0% Corpus,9,symmetric,symmetric,0.41158867955682726
75.0% Corpus,9,asymmetric,0.01,0.3676232003614673
75.0% Corpus,9,asymmetric,0.31,0.349189266286043
75.0% Corpus,9,asymmetric,0.61,0.37027364946166913
75.0% Corpus,9,asymmetric,0.9099999999999999,0.36305668650096823
75.0% Corpus,9,asymmetric,symmetric,0.38863991569015327
75.0% Corpus,10,0.01,0.01,0.43308747106538287
75.0% Corpus,10,0.01,0.31,0.4085191520252214
75.0% Corpus,10,0.01,0.61,0.43532486336366727
75.0% Corpus,10,0.01,0.9099999999999999,0.44279391295282294
75.0% Corpus,10,0.01,symmetric,0.43566513143379115
75.0% Corpus,10,0.31,0.01,0.4202659965110593
75.0% Corpus,10,0.31,0.31,0.4284605440929572
75.0% Corpus,10,0.31,0.61,0.42020423073642676
75.0% Corpus,10,0.31,0.9099999999999999,0.4464739272877266
75.0% Corpus,10,0.31,symmetric,0.4334515594792584
75.0% Corpus,10,0.61,0.01,0.42447869023783263
75.0% Corpus,10,0.61,0.31,0.4184047726654013
75.0% Corpus,10,0.61,0.61,0.40781698697265834
75.0% Corpus,10,0.61,0.9099999999999999,0.41850957108488174
75.0% Corpus,10,0.61,symmetric,0.38192827280404035
75.0% Corpus,10,0.9099999999999999,0.01,0.3834668645096908
75.0% Corpus,10,0.9099999999999999,0.31,0.4243561932137954
75.0% Corpus,10,0.9099999999999999,0.61,0.37404736750989576
75.0% Corpus,10,0.9099999999999999,0.9099999999999999,0.37576833688413147
75.0% Corpus,10,0.9099999999999999,symmetric,0.3776666751570567
75.0% Corpus,10,symmetric,0.01,0.42736146555304033
75.0% Corpus,10,symmetric,0.31,0.4255399968219584
75.0% Corpus,10,symmetric,0.61,0.4420456534542092
75.0% Corpus,10,symmetric,0.9099999999999999,0.4081250858613933
75.0% Corpus,10,symmetric,symmetric,0.42794351730747743
75.0% Corpus,10,asymmetric,0.01,0.41294428968183555
75.0% Corpus,10,asymmetric,0.31,0.41414118652453125
75.0% Corpus,10,asymmetric,0.61,0.3607961111746366
75.0% Corpus,10,asymmetric,0.9099999999999999,0.37099766096075676
75.0% Corpus,10,asymmetric,symmetric,0.359159386082617
100.0% Corpus,2,0.01,0.01,0.2987499854897421
100.0% Corpus,2,0.01,0.31,0.29289015907825594
